Fecha,Numero,Sorteo
2024-11-20,333,1
2024-11-20,2389,2
2024-11-19,6323,1
2024-11-19,2439,2
2024-11-19,6022,3
2024-11-18,35,1
2024-11-18,8096,2
2024-11-18,5050,3
2024-11-16,1541,1
2024-11-16,8967,2
2024-11-16,4019,3
2024-11-15,7392,1
2024-11-15,7508,2
2024-11-15,5026,3
2024-11-14,276,1
2024-11-14,6864,2
2024-11-14,2227,3
2024-11-13,9731,1
2024-11-13,3174,2
2024-11-13,1740,3
2024-11-12,8479,1
2024-11-12,4151,2
2024-11-12,2109,3
2024-11-11,2636,1
2024-11-11,3462,2
2024-11-11,5415,3
2024-11-09,4906,1
2024-11-09,6254,2
2024-11-09,511,3
2024-11-08,8334,1
2024-11-08,1332,2
2024-11-08,4964,3
2024-11-07,6345,1
2024-11-07,8009,2
2024-11-07,7988,3
2024-11-06,7935,1
2024-11-06,2776,2
2024-11-05,3707,1
2024-11-04,1790,1
2024-11-04,7378,2
2024-11-04,1122,3
2024-11-02,5157,1
2024-11-02,9585,2
2024-11-02,1344,3
2024-11-01,1984,1
2024-11-01,288,2
2024-11-01,915,3
